,restaurant_id,names,restaurant_type,address,latitude,longitude,num_of_reviews,rating,zip_code
45,FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,chinese,360 W 42nd Street,40.7582902125633,-73.9925113993899,515,4.0,10036
46,WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,chinese,134 E 27th St,40.74183,-73.98271,248,4.5,10010
47,oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,chinese,1378 3rd Ave,40.773951,-73.957927,445,4.0,10075
48,sfsjk1h50ooC2ioY7m48gw,Pig Heaven,chinese,1420 3rd Ave,40.77544,-73.95686,444,4.0,10028
49,bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,chinese,13 Mott St,40.714167,-73.998803,1241,4.0,10013
50,53lgp8fFEuK3Yo7yeXc89A,Tim Ho Wan - Hell's Kitchen,chinese,610 9th Ave,40.75935,-73.99175,478,3.5,10036
51,olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,chinese,137 E 13th St,40.73297,-73.98829,253,4.5,10003
52,l44CFBTejwL0ElKmkH7xQQ,Decoy,chinese,529 Hudson St,40.734207418277244,-74.006519,439,4.0,10014
53,tguMh2GgOcU9fu6WN3dqpw,The Original Buddha Bodai Kosher Vegetarian Restaurant,chinese,5 Mott St,40.7138543,-73.9989484,1122,4.0,10013
54,_usWsAYSKKV2q8xw-3ajrA,Nom Wah Tea Parlor,chinese,13 Doyers St,40.714490521829,-73.998153857324,2166,3.5,10013
55,1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,chinese,204E 58th St,40.76063,-73.96664,345,3.5,10022
56,8ig0yf0003DAp4YOGTlbVg,Spicy Village,chinese,68 Forsyth St,40.71695,-73.99327,734,4.0,10002
57,fPW_GBZsnBNsIzK62sCHBg,Xi'an Famous Foods,chinese,45 Bayard St,40.715082,-73.997342,1092,4.0,10013
58,qrncvjkiKN5Z-JC06ygy6A,Hutong,chinese,731 Lexington Ave,40.761551,-73.967443,380,3.5,10022
59,l1nX-f46dmOEmYPoiuLSaw,Peking Duck House,chinese,236 E 53rd St,40.756912,-73.968109,479,3.5,10022
60,qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,chinese,36 W 48th St,40.75781,-73.97994,525,3.5,10036
61,OvdCm3j_5HzItolfvwrEUA,Lilli & Loo,chinese,1026 3rd Ave,40.762738760552196,-73.96594827668659,424,3.5,10065
62,BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,chinese,48 W 48th St,40.75809,-73.98026,88,4.5,10036
63,L37A2JWXfwR_PgKColA8xA,Big Wong,chinese,67 Mott St,40.71627244103162,-73.99827844267524,1485,3.5,10013
64,0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,chinese,11 Mott St,40.7140555,-73.9988387116394,1085,4.0,10013
65,ojbH3wnRu050hRhkmoxRiA,Han Dynasty,chinese,215 W 85th St,40.78752,-73.97647,637,4.0,10024
66,9HD5HQiTkURkx5i7hL92EA,Spicy Moon West Village,chinese,68 W 3rd St,40.729318,-73.99832,204,4.5,10012
67,g512kssHLLTdDbUJHTmJFw,Stick To My Pot Potsticker,chinese,224 W 35th St,40.75202,-73.99121,188,4.5,10001
68,lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,chinese,796 9th Ave,40.76513,-73.98753,325,4.0,10019
69,bT4CDzyhV-frXV6ijvXnvw,Super Taste,chinese,26 Eldridge St,40.715117,-73.9933339,611,4.0,10002
70,zubN8Ve-RyoljRZV4NRxEQ,Wo Hop,chinese,17 Mott St,40.7142239034582,-73.9988691693115,1529,3.5,10013
